Team Name,City,NBA.com Initials,BigDataBall Initials,
Atlanta Hawks,Atlanta,ATL,Atl,
Boston Celtics,Boston,BOS,Bos,
Brooklyn Nets,Brooklyn,BKN,Bro,
Charlotte Hornets,Charlotte,CHA,Cha,
Chicago Bulls,Chicago,CHI,Chi,
Cleveland Cavaliers,Cleveland,CLE,Cle,
Dallas Mavericks,Dallas,DAL,Dal,
Denver Nuggets,Denver,DEN,Den,
Detroit Pistons,Detroit,DET,Det,
Golden State Warriors,Golden State,GSW,Gol,
Houston Rockets,Houston,HOU,Hou,
Indiana Pacers,Indiana,IND,Ind,
Los Angeles Clippers,LA Clippers,LAC,Lac,
Los Angeles Lakers,LA Lakers,LAL,Lal,
Memphis Grizzlies,Memphis,MEM,Mem,
Miami Heat,Miami,MIA,Mia,
Milwaukee Bucks,Milwaukee,MIL,Mil,
Minnesota Timberwolves,Minnesota,MIN,Min,
New Jersey Nets,New Jersey,NJN,Njn,
New Orleans Hornets,New Orleans,NOH,Nor,
New York Knicks,New York,NYK,Nyk,
Oklahoma City Thunder,Oklahoma City,OKC,Okc,
Orlando Magic,Orlando,ORL,Orl,
Philadelphia 76ers,Philadelphia,PHI,Phi,
Phoenix Suns,Phoenix,PHX,Pho,
Portland Trailblazers,Portland,POR,Por,
Sacramento Kings,Sacramento,SAC,Sac,
San Antonio Spurs,San Antonio,SAS,San,
Seattle Supersonics,Seattle,SEA,Sea,
Toronto Raptors,Toronto,TOR,Tor,
Utah Jazz,Utah,UTA,Uta,
Washington Wizards,Washington,WAS,Was,
